oidx;ORDEN;PARTNUMBER;CANTIDAD;N_OPERACIONES;FECHA_PROVEEDOR;deadline_work_min;work_min;slack_min;cr;n_alternativas;n_grupos_recurso;duracion_media_operacion_min;duracion_max_operacion_min;operacion_min;operacion_max;log_cantidad;log_work_min;log_deadline_work_min;slack_relativo;log_cr;ga_rank_target;nn_priority_score;escenario_objetivo_ga;modelo_prioridad
0;ORDEN_7;PARTNUMBER_7;8.0;6;2026-06-15;27360.0;1353.6549082909999;26006.345091709;20.21194606721607;6;5;225.60915138183327;1159.5372612321764;900020;1300020;2.1972245773362196;7.21130202064924;10.216873920776164;19.21194606721607;3.054564516711594;0.45724108293940696;0.51273835;inicial;TorchGCN_prioridad_desde_GA
1;ORDEN_25;PARTNUMBER_20;29.0;3;2026-08-12;87840.0;1598.6861621728804;86241.31383782713;54.94511810911707;3;2;532.8953873909602;807.8359858532274;1000020;1000040;3.4011973816621555;7.377562740346262;11.383283641013712;20.0;4.024371176422298;0.5208422862054147;0.43256727;inicial;TorchGCN_prioridad_desde_GA
2;ORDEN_57;PARTNUMBER_56;30.0;3;2026-06-20;34560.0;1691.0895424836601;32868.91045751634;20.43652871819112;3;3;563.6965141612201;1277.7777777777778;1000010;1000030;3.4339872044851463;7.4337194598555305;10.450481157684562;19.436528718191116;3.065096416293493;0.5453373442200258;0.5382613;inicial;TorchGCN_prioridad_desde_GA
3;ORDEN_63;PARTNUMBER_61;20.0;4;2026-06-06;20160.0;1092.393433684524;19067.606566315477;18.454889400060303;4;3;273.098358421131;609.6786485456623;900020;1300020;3.044522437723423;6.9970413810327;9.911505324129712;17.454889400060303;2.9680984215095534;0.37559088955737;0.39522767;inicial;TorchGCN_prioridad_desde_GA
4;ORDEN_71;PARTNUMBER_69;48.0;6;2026-06-16;28800.0;1256.4049535603715;27543.59504643963;22.922545727304897;9;7;209.4008255933952;666.8;900020;1300020;3.8918202981106265;7.136805315467503;10.268165387743457;20.0;3.174821350146302;0.426299957026214;0.41803008;inicial;TorchGCN_prioridad_desde_GA
5;ORDEN_72;PARTNUMBER_70;16.0;5;2026-06-30;43200.0;7465.286171423662;35734.713828576336;5.786784191256472;5;4;1493.0572342847324;6695.87440671778;900020;1300020;2.833213344056216;8.918152988692228;10.673618922112436;4.786784191256471;1.9149772198470558;0.9368285345938977;0.89935124;inicial;TorchGCN_prioridad_desde_GA
6;ORDEN_73;PARTNUMBER_71;64.0;1;2026-06-27;41760.0;426.66666666666663;41333.333333333336;97.87500000000001;4;1;426.66666666666663;426.66666666666663;400020;400020;4.174387269895637;6.058344075947526;10.639718168629964;20.0;4.593856426087818;0.15384615384615385;0.30266106;inicial;TorchGCN_prioridad_desde_GA
7;ORDEN_76;PARTNUMBER_74;12.0;2;2026-05-20;1440.0;2307.4764561981356;-867.4764561981356;0.6240583717038592;2;1;1153.7382280990678;1798.6425339366515;800020;800030;2.5649493574615367;7.744343043150455;7.273092595999522;-0.37594162829614075;0.4849281842609471;0.6794155565105285;0.6602801;inicial;TorchGCN_prioridad_desde_GA
8;ORDEN_77;PARTNUMBER_75;34.0;6;2026-08-01;77760.0;888.0321427910163;76871.96785720899;87.5643980133493;6;6;148.00535713183606;402.22222222222223;800020;1200020;3.5553480614894135;6.7901333909806665;11.261395299133936;20.0;4.483729948564645;0.32230339492909327;0.3031056;inicial;TorchGCN_prioridad_desde_GA
9;ORDEN_78;PARTNUMBER_76;10.0;3;2026-05-25;5760.0;325.04412260320544;5434.955877396795;17.720671131874198;3;2;108.34804086773515;214.6277034835727;900020;900040;2.3978952727983707;5.78703271761695;8.658866349732383;16.720671131874198;2.929628321468468;0.1392350666093683;0.1477078;inicial;TorchGCN_prioridad_desde_GA
10;ORDEN_80;PARTNUMBER_78;30.0;6;2026-05-23;5760.0;4393.993233842797;1366.006766157203;1.3108804892179027;6;6;732.3322056404662;2472.2222222222226;1000020;1400030;3.4339872044851463;8.388221270605646;8.658866349732383;0.3108804892179027;0.8376286160726906;0.8594757198109153;0.8067616;inicial;TorchGCN_prioridad_desde_GA
11;ORDEN_82;PARTNUMBER_80;24.0;2;2026-06-01;12960.0;399.76993464052293;12560.230065359478;32.41864601862509;2;2;199.88496732026147;311.11111111111114;900020;900030;3.2188758248682006;5.993387533585063;9.469700127423375;20.0;3.5091140082419536;0.09110442629995702;0.14638421;inicial;TorchGCN_prioridad_desde_GA
